iter	Passed	Remaining
0	0	94
1	2	117
2	3	104
3	3	90
4	4	84
5	5	80
6	5	79
7	6	76
8	7	74
9	8	72
10	8	70
11	9	68
12	9	66
13	10	64
14	11	63
15	11	62
16	13	64
17	13	63
18	14	62
19	15	61
20	16	61
21	17	61
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	34	41
45	36	42
46	37	41
47	37	40
48	38	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	33
57	44	32
58	45	31
59	46	30
60	47	30
61	48	30
62	49	29
63	50	28
64	50	27
65	51	26
66	52	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	59	17
77	60	17
78	61	16
79	62	15
80	63	15
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	78	0
99	79	0
